ses_var,threshold,decile,n_voters,tau_F,se_F,p_F,ci_lo_F,ci_hi_F,bw_F,post_F,post_lo_F,post_hi_F,n_eff_l_F,n_eff_r_F,tau_M,se_M,p_M,ci_lo_M,ci_hi_M,bw_M,post_M,post_lo_M,post_hi_M,n_eff_l_M,n_eff_r_M,gap_MF,se_gap,p_gap
pca_index,18,9,320037,0.14714351222637612,0.013160707278584911,5.079318254543896e-29,0.11264403462555603,0.17062656697069714,157.01877456187808,0.6985347116347111,0.6851919007421647,0.7118775225272576,13677,12900,0.1709746444498889,0.010741620132220993,4.827873324261442e-57,0.14332666244542674,0.1929521010142486,230.37582241642653,0.6504606249334173,0.6393418225948928,0.6615794272719417,20555,20363,0.023831132223512796,0.016987837388482772,0.1606660586208486
pca_index,18,10,303603,0.08920947204785523,0.01419171180707844,3.256950309955265e-10,0.051917670175392484,0.11536350782619345,140.5934575929575,0.7270398587885759,0.7125313416017506,0.7415483759754012,11167,10857,0.10627177100840657,0.011881314796460995,3.738222495772536e-19,0.07559346809532545,0.13051664934582338,209.41081323931454,0.6477222994881456,0.6353221573140305,0.6601224416622608,17451,16909,0.017062298960551336,0.018508655415987747,0.35660414603405033
pca_index,70,1,202101,-0.031087792055693786,0.011240385393579784,0.005679676237192619,-0.05379846896151809,-0.00223019385463806,258.42581224028197,0.7414583504778054,0.7292569752493789,0.7536597257062319,13222,13292,-0.012031917426795435,0.012609646707819892,0.33999074124285433,-0.03565861584706932,0.02088777136742472,273.8149118834287,0.7402418511021795,0.7264167437229754,0.7540669584813837,10964,10602,0.01905587462889835,0.016892289776470056,0.2592856253544502
pca_index,70,2,200392,-0.05467100118810919,0.011289372625733386,1.280890952233887e-06,-0.07713302125645542,-0.025435868483637065,274.1497456498682,0.716565250615033,0.7040411582583282,0.7290893429717377,13870,13836,-0.02965527319525374,0.011075814456654039,0.007417825093190905,-0.053117885563594425,-0.0014806654182800728,345.89073198613397,0.7431093327009195,0.7306994214448472,0.7555192439569918,14342,13635,0.025015727992855452,0.01581529639813573,0.11370834417418929
pca_index,70,3,201230,-0.06399499432683886,0.00933339566795289,7.053809594607982e-12,-0.08355466305531599,-0.04021792716133289,413.90094509351667,0.70131315847557,0.6907604045666197,0.7118659123845202,21676,21101,-0.03657771135810617,0.01125694462494671,0.0011567056849524611,-0.05744555241355629,-0.007210242990247771,331.154369211128,0.7278878314791154,0.7152893062304645,0.7404863567277663,13862,13309,0.027417282968732692,0.014622964028666637,0.06080001117268896
pca_index,70,4,200891,-0.06107448832681106,0.012240098923016215,6.047142813359484e-07,-0.08560781930181634,-0.029490005881854842,252.35128045415965,0.6886232521634322,0.6751352976923385,0.702111206634526,12514,12603,-0.057818180043543665,0.011509939894715673,5.078424102746558e-07,-0.0865992078800139,-0.03276376695620026,324.16667346253917,0.711438472188954,0.6986658294740038,0.7242111149039041,13798,13426,0.003256308283267395,0.016801748064567273,0.8463264513163451
pca_index,70,5,201175,-0.052769399736655065,0.010617101001152334,6.687463613687741e-07,-0.07219225577489284,-0.02481060478915122,346.7841758095936,0.6868109658832402,0.6750180378839901,0.6986038938824903,17142,17140,-0.05181212420813941,0.012305720630158137,2.5490811521919832e-05,-0.08197772609623621,-0.024173191620357356,283.6547301862723,0.7102372437892416,0.696759319416614,0.7237151681618692,12114,11814,0.0009572755285156553,0.01625280264742575,0.9530324709791853
pca_index,70,6,200799,-0.07042127992893255,0.009888077316887383,1.064975692789626e-12,-0.09029501659580302,-0.04486836586739179,393.5311329679253,0.6811976887250604,0.6699928498480247,0.6924025276020961,19932,19062,-0.05188761187283608,0.010491394955041353,7.585885384347173e-07,-0.07906981476785535,-0.030945598116479785,398.1970662418845,0.6982360062751816,0.6866866442236369,0.7097853683267262,17316,16787,0.018533668056096464,0.01441677637779715,0.19859576762988196
pca_index,70,7,203002,-0.06284908621043728,0.009759546069021388,1.1966645849979865e-10,-0.0857866704439271,-0.03975209036400415,422.13480015433834,0.6753652764009371,0.6644491661914279,0.6862813866104464,21213,20439,-0.04074768025995845,0.00987793404917958,3.7053874418174044e-05,-0.06350281708446281,-0.01708074930191151,445.31730958554965,0.7059995530917872,0.6950175490686382,0.7169815571149362,20091,19028,0.022101405950478825,0.013886047693756929,0.11146857985673919
pca_index,70,8,201890,-0.05112753230954714,0.01081095890507777,2.253707845115624e-06,-0.07756241660488745,-0.026766197099182088,361.727821741386,0.6650099691777567,0.6531627284792735,0.6768572098762399,17781,17157,-0.02879047060859108,0.01197480780142571,0.01620554221008635,-0.0537048512071272,0.0018445936745599169,310.5400924579935,0.694954468593775,0.6818953959215074,0.7080135412660425,14127,13384,0.022337061700956062,0.01613297413152226,0.16618721959330385
pca_index,70,9,198193,-0.03501712736847673,0.012906860024063205,0.006666438460952532,-0.059453369132080165,-0.0012034249868376132,275.29913817897375,0.6547494510498592,0.6407296868535265,0.6687692152461918,12785,12402,-0.019059891291941855,0.01248252166005769,0.12677932535611885,-0.042473279526921384,0.013706270420887474,290.41294132340084,0.6912121654491815,0.6775933140506717,0.7048310168476913,13130,12691,0.015957236076534875,0.017955511206160915,0.37415914360076963
pca_index,70,10,201071,-0.03597854070159412,0.01388658418504175,0.009572951482362107,-0.06497048987906376,-0.0003176980686001238,261.7400268155745,0.6380624606030626,0.623351104092846,0.6527738171132792,11310,11316,-0.017882249991786336,0.011076664124558669,0.10643905906195568,-0.042174348609735374,0.009906853400934251,370.0727372357728,0.6507190815417717,0.6388713088958345,0.6625668541877089,18396,17257,0.018096290709807783,0.0177631559261449,0.30831964725547456
